name,position,team,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,GW,matchFile,homeTeamID,awayTeamID,goals_scored_distribution
William Osula,FWD,Newcastle,0,0,0,0,3,0,0,0,0,1,1,0,50,False,0,2,BOUNEW,14,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Harry Souttar,DEF,Leicester,0,0,0,0,9,0,0,0,0,1,2,0,40,False,0,2,FULLCI,10,8,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Jean-Philippe Mateta,FWD,Crystal Palace,0,2,0,90,19,0,0,0,0,2,0,2,75,True,0,2,CRYWHU,6,18,"{""0"": 0.6950902640819552, ""1"": 0.30490973591804527, ""3"": 0, ""2"": 0}"
Ben Nelson,DEF,Leicester,0,0,0,0,9,0,0,0,0,1,2,0,40,False,0,2,FULLCI,10,8,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Bernardo Veiga de Carvalho e Silva,MID,Man City,0,1,0,90,10,0,0,0,0,1,4,2,66,True,0,2,MNCIPS,12,9,"{""0"": 0.8942563980817797, ""1"": 0.10574360191822074, ""3"": 0, ""2"": 0}"
Filip Jørgensen,GK,Chelsea,0,0,0,0,20,0,0,0,0,6,2,0,45,False,0,2,WOVCHE,5,19,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
David Brooks,MID,Bournemouth,0,0,0,0,15,0,0,0,0,1,1,0,50,True,0,2,BOUNEW,0,14,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Son Heung-min,MID,Spurs,1,0,2,90,8,0,0,0,0,0,4,16,100,True,0,2,TOTEVE,17,7,"{""0"": 0.09974791176669971, ""1"": 0.6656455144918212, ""2"": 0.22894336292759232, ""3"": 0.005663210813887709}"
Solly March,MID,Brighton,0,0,0,0,14,0,0,0,0,1,2,0,65,True,0,2,BHAMNU,4,13,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Manor Solomon,MID,Spurs,0,0,0,0,8,0,0,0,0,0,4,0,55,True,0,2,TOTEVE,17,7,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Nathaniel Phillips,DEF,Liverpool,0,0,0,0,4,0,0,0,0,0,2,0,40,True,0,2,LIVBRE,11,3,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Kieran Trippier,DEF,Newcastle,0,0,0,32,3,0,0,0,0,1,1,1,59,False,0,2,BOUNEW,14,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
